        单轴间接拉伸试验结果报告

       二进制结果文件存放路径:C:\Documents and Settings\Owner\桌面\BTLS-1-6.uit
       文本结果文件存放路径:C:\Documents and Settings\Owner\桌面\BTLS-1-6.txt
       试验开始时间: 09:30:19,04/23/2019
       试件类型:圆柱体    直径:49.7 mm    高:23.0 mm
       相关传感器: 垂直向100KN力传感器(测试件垂直力)
                  垂直向50MM行程传感器(测试件垂直变形)
                  两个水平向2.5MM位移传感器(测试件横向变形)
       步骤:1    控制模式:力    波形:斜坡
       速率:0.20 KN/s    终点:0.000 KN
组号 时间(ms) 垂直力(KN) 垂直变形(mm) 横向变形(mm)
124	12546	2.820       0.23377       0.0275 
125	12646	2.839       0.23571       0.0277 
126	12746	2.861       0.23765       0.0277 
127	12846	2.882       0.23765       0.0280 
128	12946	2.906       0.23959       0.0283 
129	13046	2.929       0.24056       0.0285 
130	13146	2.954       0.24347       0.0287 
131	13246	2.974       0.24347       0.0290 
132	13346	2.997       0.24541       0.0292 
133	13446	3.020       0.24638       0.0295 
134	13546	3.042       0.24832       0.0298 
135	13646	3.063       0.25026       0.0300 
136	13746	3.090       0.25123       0.0303 
137	13846	3.112       0.25220       0.0305 
138	13946	3.137       0.25511       0.0308 
139	14046	3.158       0.25511       0.0312 
140	14146	3.178       0.25802       0.0314 
141	14246	3.201       0.25705       0.0317 
142	14346	3.223       0.26093       0.0321 
143	14446	3.248       0.26093       0.0323 
144	14546	3.271       0.26384       0.0326 
145	14646	3.296       0.26578       0.0328 
146	14746	3.314       0.26578       0.0331 
147	14846	3.334       0.26772       0.0334 
148	14946	3.357       0.26772       0.0337 
149	15046	3.384       0.27063       0.0340 
150	15146	3.407       0.27160       0.0343 
151	15246	3.427       0.27257       0.0350 
152	15346	3.450       0.27354       0.0375 
153	15446	3.472       0.27451       0.0401 
154	15546	3.493       0.27548       0.0421 
155	15646	3.518       0.27742       0.0437 
156	15746	3.540       0.27936       0.0446 
157	15846	3.558       0.27936       0.0458 
158	15946	3.583       0.28130       0.0475 
159	16046	3.606       0.28324       0.0488 
160	16146	3.629       0.28421       0.0499 
161	16246	3.651       0.28518       0.0507 
162	16346	3.674       0.28712       0.0517 
163	16446	3.696       0.28809       0.0524 
164	16546	3.719       0.29003       0.0528 
165	16646	3.742       0.29197       0.0531 
166	16746	3.767       0.29391       0.0535 
